seed,time,degDist,degDistTime,avgDeg,avgNNDistance,avgRange
1,100,0,0,1.4,0.798518,1
2,100,0,0,2.01,0.688711,1
3,100,1,0,1.63,0.730065,1
4,100,0,0,1.54,0.806867,1
5,100,0,0,1.74,0.715173,1
6,100,0,0,1.81,0.695774,1
7,100,0,0,1.63,0.713621,1
8,100,0,0,1.8,0.74071,1
9,100,0,0,1.84,0.708391,1
10,100,0,0,1.9,0.650805,1
11,100,0,0,1.84,0.731609,1
12,100,0,0,1.64,0.641784,1
13,100,0,0,2.09,0.718282,1
14,100,0,0,1.71,0.716383,1
15,100,0,0,1.75,0.760781,1
16,100,1,0,2.03,0.616766,1
17,100,0,0,1.84,0.718605,1
18,100,1,0,1.78,0.740362,1
19,100,0,0,1.85,0.627746,1
20,100,1,0,1.78,0.659626,1
21,100,0,0,1.6,0.687584,1
22,100,0,0,1.77,0.814639,1
23,100,0,0,1.91,0.600045,1
24,100,0,0,1.67,0.664726,1
25,100,0,0,1.8,0.676565,1
26,100,0,0,1.8,0.705326,1
27,100,0,0,1.93,0.713305,1
28,100,0,0,1.59,0.687025,1
29,100,1,0,1.67,0.714047,1
30,100,1,0,2.16,0.713131,1
